channel,n_final_clusters,overall_precision,overall_recall,overall_f1_score,mean_firing_rate,mean_isi_violations,mean_presence_ratio,mean_amplitude_cv,mean_snr
CH3,2,1.0,1.0,1.0,3.1168260188191526,0.0047214542527057,1.0,0.1530711896428163,8.611672178600351
CH20,1,1.0,1.0,1.0,2.4849933340765955,0.0036286828422876,1.0,0.1536787787592216,6.679700569939103
CH30,3,1.0,1.0,1.0,2.9302883987880093,0.002634809825603967,1.0,0.16693916539687526,9.125059022111671
CH31,3,1.0,1.0,1.0,5.695237072998233,0.0016061754204020667,1.0,0.1398848634195162,10.375249877377343
