cluster_id,n_spikes,firing_rate,isi_violations_rate,isi_violations_count,presence_ratio,amplitude_median,amplitude_cv,amplitude_cutoff,snr
1,25287,3.403088353035195,0.009095942418729732,230,1.0,55.57912355930067,0.15173151633964427,0.44335033811840097,5.9384933209618245
5,17574,2.3650838263234277,0.013828031639446878,243,1.0,50.350276094602265,0.15869884124596384,0.38813019232957807,4.725919352455809
38,5543,0.7459690252253761,0.013713460844460484,76,1.0,59.43889967584294,0.13747297437621653,0.5152444524625658,6.0545121944331015
