n_curated_clusters,n_matched_clusters,total_gt_spikes,total_tp,total_fp,total_fn,overall_precision,overall_recall,overall_f1_score,mean_precision,mean_recall,mean_f1_score,channel,n_final_clusters,mean_firing_rate,mean_isi_violations,mean_presence_ratio,mean_amplitude_cv,mean_snr,elapsed_time_s
2,2,18364,18364,19517,0,0.4847812887727357,1.0,0.6530002666903725,0.4602988591849145,1.0,0.6091927057326142,CH3,2,6.429344718954929,0.033432084476448104,1.0,0.23503904348285595,4.937429655144997,
1,1,18465,17857,26735,608,0.4004529960531037,0.9670728405090712,0.5663764530504147,0.4004529960531037,0.9670728405090712,0.5663764530504147,CH20,1,6.001127687687168,0.030320019734924,1.0,0.1530130886547871,4.9057230597122965,
1,1,91105,50821,2240,40284,0.9577844367803094,0.5578288787662588,0.7050344741478575,0.9577844367803094,1.0,0.978437072832637,CH30,1,5.119939610167077,0.0013004146249528,1.0,0.2162104804349644,8.640360620447387,
2,1,50333,38899,18065,11434,0.6828698827329541,0.7728329326684282,0.7250715304248954,0.5,0.5,0.5,CH31,2,9.668313570409214,0.0005565858785082499,1.0,0.12732045937839107,10.118798786851956,
