call_id,timestamp,base_prefix,unique_prefix,prompt_file,image_files,phase,cluster_id,n_spikes
7,2025-11-30_21-01-51,phase1_cluster_1,phase1_cluster_1_call00007,phase1_cluster_1_call00007_prompt.txt,phase1_cluster_1_call00007_waveform_overlay.png;phase1_cluster_1_call00007_isi_histogram.png;phase1_cluster_1_call00007_aggregation_tree.png,1,1,73756
8,2025-11-30_21-01-59,phase1_cluster_1,phase1_cluster_1_call00008,phase1_cluster_1_call00008_prompt.txt,phase1_cluster_1_call00008_waveform_overlay.png;phase1_cluster_1_call00008_isi_histogram.png;phase1_cluster_1_call00008_aggregation_tree.png,1,1,73365
9,2025-11-30_21-02-07,phase1_cluster_1,phase1_cluster_1_call00009,phase1_cluster_1_call00009_prompt.txt,phase1_cluster_1_call00009_waveform_overlay.png;phase1_cluster_1_call00009_isi_histogram.png;phase1_cluster_1_call00009_aggregation_tree.png,1,1,72946
10,2025-11-30_21-02-28,phase1_cluster_152,phase1_cluster_152_call00010,phase1_cluster_152_call00010_prompt.txt,phase1_cluster_152_call00010_waveform_overlay.png;phase1_cluster_152_call00010_isi_histogram.png;phase1_cluster_152_call00010_aggregation_tree.png,1,152,419
11,2025-11-30_21-02-34,phase1_cluster_148,phase1_cluster_148_call00011,phase1_cluster_148_call00011_prompt.txt,phase1_cluster_148_call00011_waveform_overlay.png;phase1_cluster_148_call00011_isi_histogram.png;phase1_cluster_148_call00011_aggregation_tree.png,1,148,391
12,2025-11-30_21-02-39,phase1_cluster_165,phase1_cluster_165_call00012,phase1_cluster_165_call00012_prompt.txt,phase1_cluster_165_call00012_waveform_overlay.png;phase1_cluster_165_call00012_isi_histogram.png;phase1_cluster_165_call00012_aggregation_tree.png,1,165,354
13,2025-11-30_21-02-44,phase1_cluster_115,phase1_cluster_115_call00013,phase1_cluster_115_call00013_prompt.txt,phase1_cluster_115_call00013_waveform_overlay.png;phase1_cluster_115_call00013_isi_histogram.png;phase1_cluster_115_call00013_aggregation_tree.png,1,115,2169
14,2025-11-30_21-02-53,phase1_cluster_104,phase1_cluster_104_call00014,phase1_cluster_104_call00014_prompt.txt,phase1_cluster_104_call00014_waveform_overlay.png;phase1_cluster_104_call00014_isi_histogram.png;phase1_cluster_104_call00014_aggregation_tree.png,1,104,11873
15,2025-11-30_21-03-00,phase1_cluster_104,phase1_cluster_104_call00015,phase1_cluster_104_call00015_prompt.txt,phase1_cluster_104_call00015_waveform_overlay.png;phase1_cluster_104_call00015_isi_histogram.png;phase1_cluster_104_call00015_aggregation_tree.png,1,104,11649
16,2025-11-30_21-03-18,phase1_cluster_104,phase1_cluster_104_call00016,phase1_cluster_104_call00016_prompt.txt,phase1_cluster_104_call00016_waveform_overlay.png;phase1_cluster_104_call00016_isi_histogram.png;phase1_cluster_104_call00016_aggregation_tree.png,1,104,11281
