n_curated_clusters,n_matched_clusters,total_tp,total_fp,total_fn,overall_precision,overall_recall,overall_f1_score,mean_precision,mean_recall,mean_f1_score,channel,n_final_clusters,mean_firing_rate,mean_isi_violations,mean_presence_ratio,mean_amplitude_cv,mean_snr,elapsed_time_s
1,1,13782,75014,0,0.1552,1.0,0.2687,0.1552,1.0,0.2687,CH3,1,30.141764666419675,0.2445295343206261,1.0,0.3093022402897614,3.166261661964796,
1,1,18465,64200,0,0.2234,1.0,0.3652,0.2234,1.0,0.3652,CH20,1,11.12493766376614,0.1605414690796477,1.0,0.2593758109824915,3.4364122769801675,
4,2,79644,343287,0,0.1883,1.0,0.3169,0.2717,0.5,0.2899,CH30,4,10.202319873671682,0.1160021238514172,0.9913294797687862,0.23995489617253654,6.036435847109476,
3,2,46171,80643,0,0.3641,1.0,0.5338,0.368,0.6667,0.3962,CH31,3,14.349150540901555,0.0583962258302712,1.0,0.18033689386289156,7.821057283317735,
