n_curated_clusters,n_matched_clusters,total_gt_spikes,total_tp,total_fp,total_fn,overall_precision,overall_recall,overall_f1_score,mean_precision,mean_recall,mean_f1_score,channel,n_final_clusters,mean_firing_rate,mean_isi_violations,mean_presence_ratio,mean_amplitude_cv,mean_snr,elapsed_time_s
2,2,18364,18364,12191,0,0.6010145639011618,1.0,0.7507921257589075,0.6141879455344526,1.0,0.708328326380868,CH3,2,5.185940917284862,0.0173204471059475,1.0,0.1891504050894454,6.4683803425523525,
1,1,18465,18465,4329,0,0.8100816004211635,1.0,0.8950774376499673,0.8100816004211635,1.0,0.8950774376499673,CH20,1,3.067583972756129,0.0059228710569034,1.0,0.1617828065570484,5.920425571816857,
1,1,91105,50821,0,40284,1.0,0.5578288787662588,0.7161619435480463,1.0,1.0,1.0,CH30,1,4.903798475873072,0.0003345139708776,1.0,0.2103106211111707,12.333618069184402,
2,1,50333,38899,20933,11434,0.6501370504078086,0.7728329326684282,0.7061952525756818,0.47951233943936294,0.5,0.4895419078781777,CH31,2,10.15508983822632,0.00427133775303505,1.0,0.1683395914795761,9.535575267715581,
