call_id,timestamp,base_prefix,unique_prefix,prompt_file,image_files,phase,cluster_id,n_spikes
1,2025-11-30_21-00-45,phase1_cluster_1,phase1_cluster_1_call00001,phase1_cluster_1_call00001_prompt.txt,phase1_cluster_1_call00001_waveform_overlay.png;phase1_cluster_1_call00001_isi_histogram.png;phase1_cluster_1_call00001_aggregation_tree.png,1,1,69850
2,2025-11-30_21-00-55,phase1_cluster_1,phase1_cluster_1_call00002,phase1_cluster_1_call00002_prompt.txt,phase1_cluster_1_call00002_waveform_overlay.png;phase1_cluster_1_call00002_isi_histogram.png;phase1_cluster_1_call00002_aggregation_tree.png,1,1,60782
3,2025-11-30_21-01-12,phase1_cluster_86,phase1_cluster_86_call00003,phase1_cluster_86_call00003_prompt.txt,phase1_cluster_86_call00003_waveform_overlay.png;phase1_cluster_86_call00003_isi_histogram.png;phase1_cluster_86_call00003_aggregation_tree.png,1,86,9068
4,2025-11-30_21-01-21,phase1_cluster_13,phase1_cluster_13_call00004,phase1_cluster_13_call00004_prompt.txt,phase1_cluster_13_call00004_waveform_overlay.png;phase1_cluster_13_call00004_isi_histogram.png;phase1_cluster_13_call00004_aggregation_tree.png,1,13,18065
5,2025-11-30_21-01-26,phase1_cluster_63,phase1_cluster_63_call00005,phase1_cluster_63_call00005_prompt.txt,phase1_cluster_63_call00005_waveform_overlay.png;phase1_cluster_63_call00005_isi_histogram.png;phase1_cluster_63_call00005_aggregation_tree.png,1,63,38899
6,2025-11-30_21-01-32,phase1_cluster_242,phase1_cluster_242_call00006,phase1_cluster_242_call00006_prompt.txt,phase1_cluster_242_call00006_waveform_overlay.png;phase1_cluster_242_call00006_isi_histogram.png;phase1_cluster_242_call00006_aggregation_tree.png,1,242,3146
