n_curated_clusters,n_matched_clusters,total_gt_spikes,total_tp,total_fp,total_fn,overall_precision,overall_recall,overall_f1_score,mean_precision,mean_recall,mean_f1_score,channel,n_final_clusters,mean_firing_rate,mean_isi_violations,mean_presence_ratio,mean_amplitude_cv,mean_snr,elapsed_time_s
25,1,18364,13782,80844,4582,0.14564707374294592,0.7504900893051623,0.24395079210549606,0.006208387765214649,0.04,0.010748503577765212,CH3,25,1.205670586656787,0.00978838898586632,0.04,0.15623207926220203,8.54853429123097,
12,1,18465,18465,65732,0,0.21930710120313077,1.0,0.35972414330521524,0.018614286578358435,0.08333333333333333,0.03043112825076634,CH20,12,0.9270781386471784,0.01338349624181425,0.08333333333333333,0.16534726485325077,8.070724303297618,
18,2,91105,79644,349679,11461,0.18551067611099337,0.8742000987871138,0.3060711568170813,0.06037183415278413,0.1111111111111111,0.06441965706693975,CH30,18,1.7822637698659913,0.014427657683761221,0.05555555555555555,0.1823130882377689,7.633097145109507,
17,2,50333,46171,86436,4162,0.3481792062259157,0.917310710666958,0.5047665901388434,0.06494757674007326,0.11764705882352941,0.06991672476153139,CH31,17,1.3947543812874255,0.010228787645281876,0.058823529411764705,0.16432236961286992,8.281663968908367,
