n_curated_clusters,n_matched_clusters,total_gt_spikes,total_tp,total_fp,total_fn,overall_precision,overall_recall,overall_f1_score,mean_precision,mean_recall,mean_f1_score,channel,n_final_clusters,mean_firing_rate,mean_isi_violations,mean_presence_ratio,mean_amplitude_cv,mean_snr,elapsed_time_s
5,2,18364,18364,61442,0,0.23010801192892766,1.0,0.37412651522868495,0.3205650794754003,0.4,0.35510811445178425,CH3,5,5.418022593288637,0.02627670274224292,1.0,0.26223987669633786,5.139825234522005,
3,1,18465,17857,30547,608,0.3689157920832989,0.9670728405090712,0.5340890397643153,0.23539104414653114,0.3223576135030237,0.2720942280733833,CH20,3,2.171380401528,0.012212478300878966,1.0,0.1493011106539415,5.572974955950245,
1,1,91105,50821,0,40284,1.0,0.5578288787662588,0.7161619435480463,1.0,1.0,1.0,CH30,1,4.903798475873072,0.0003345139708776,1.0,0.2103106211111707,12.333618069184402,
4,2,50333,46171,31721,4162,0.592756637395368,0.917310710666958,0.7201559758237475,0.3918871458674783,0.5,0.43103061986557134,CH31,4,6.610177310461999,0.00376808686935,1.0,0.13943593453362974,8.340359696799474,
