cluster_id,n_spikes,firing_rate,isi_violations_rate,isi_violations_count,presence_ratio,amplitude_median,amplitude_cv,amplitude_cutoff,snr
1,88796,30.141764666419675,0.24470972464665802,21729,1.0,83.36361150884781,0.30930224028976144,0.24962836163791158,3.166261661964796
218,0,0.0,0.0,0,0.0,116.67008001045572,0.21610585339224356,0.7765957446808514,5.26782009995279
222,0,0.0,0.0,0,0.0,135.46454891175426,0.287382005476281,0.6043613707165109,3.0372429466229915
228,0,0.0,0.0,0,0.0,102.0167596512458,0.16962897394194137,0.17880794701986794,7.258240241471689
232,0,0.0,0.0,0,0.0,111.27916360899269,0.19671975950727913,0.28301886792452496,6.656467612725168
243,0,0.0,0.0,0,0.0,143.6226133444738,0.15526474240459243,0.29515418502202917,6.071650315696346
282,0,0.0,0.0,0,0.0,237.37656193714741,0.14474382333210908,0.5402298850574723,9.432113277262697
289,0,0.0,0.0,0,0.0,180.29815546214058,0.17611560309297994,0.6829268292682911,6.296334853594256
296,0,0.0,0.0,0,0.0,210.46117265756465,0.14880953147612458,0.2549450549450563,5.960932296207792
307,0,0.0,0.0,0,0.0,154.1195179868455,0.13513104382825053,0.4545454545454543,9.207718220537014
315,0,0.0,0.0,0,0.0,197.76832387104022,0.12430867501632586,0.42857142857143415,9.525741960820543
320,0,0.0,0.0,0,0.0,192.0578805347311,0.13272970939759057,0.3207547169811317,9.162341128009414
321,0,0.0,0.0,0,0.0,200.7651523990735,0.16267611223206765,0.37647058823529406,8.15669875131837
322,0,0.0,0.0,0,0.0,237.2204770603002,0.09592409704785838,0.5714285714285665,11.669719101512655
323,0,0.0,0.0,0,0.0,257.23187515043014,0.11094582476829291,0.3061224489795897,11.419656893229575
324,0,0.0,0.0,0,0.0,175.24118351964256,0.15638531862220925,0.632653061224492,7.867226721184988
329,0,0.0,0.0,0,0.0,196.18145574231656,0.13850581286880895,0.5999999999999949,7.117933526329216
331,0,0.0,0.0,0,0.0,286.4713633310174,0.14943779740676047,0.0789473684210537,11.57844058044481
333,0,0.0,0.0,0,0.0,250.3065926253466,0.10000734103707262,0.0,9.762987808724652
334,0,0.0,0.0,0,0.0,305.9166375133327,0.10385547224163884,0.3030303030302876,11.116618212995084
335,0,0.0,0.0,0,0.0,260.53898675093023,0.17345283479411522,0.6874999999999958,10.471903081692707
336,0,0.0,0.0,0,0.0,290.363515362514,0.1067205029905646,0.3333333333333276,11.000734750887082
337,0,0.0,0.0,0,0.0,306.90496191326514,0.17189980832782287,0.6538461538461525,10.579558435066454
339,0,0.0,0.0,0,0.0,304.94616496181266,0.15189720171539312,0.0,10.274220590046756
340,0,0.0,0.0,0,0.0,362.662804519079,0.08785189634696747,0.41176470588233854,11.654794212476427
